Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
40,PMR3-08,446.03125,,0,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
41,PMR3-09,446.03125,,0,TSQL,91.5,91.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
42,PMR3-10,446.03125,,0,TSQL,94.8,94.8,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
43,PMR3-11,446.03125,,0,TSQL,97.4,97.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
44,PMR3-12,446.03125,,0,TSQL,100,100,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
45,PMR3-13,446.03125,,0,TSQL,103.5,103.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
46,PMR3-14,446.03125,,0,TSQL,107.2,107.2,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
47,PMR3-15,446.03125,,0,TSQL,110.9,110.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
48,PMR4,446.04375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
49,PMR4-01,446.04375,,0,TSQL,67,67,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
50,PMR4-02,446.04375,,0,TSQL,71.9,71.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
51,PMR4-03,446.04375,,0,TSQL,74.4,74.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
52,PMR4-04,446.04375,,0,TSQL,77,77,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
53,PMR4-05,446.04375,,0,TSQL,79.7,79.7,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
54,PMR4-06,446.04375,,0,TSQL,82.5,82.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
55,PMR4-07,446.04375,,0,TSQL,85.4,85.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
56,PMR4-08,446.04375,,0,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
57,PMR4-09,446.04375,,0,TSQL,91.5,91.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
58,PMR4-10,446.04375,,0,TSQL,94.8,94.8,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
59,PMR4-11,446.04375,,0,TSQL,97.4,97.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
60,PMR4-12,446.04375,,0,TSQL,100,100,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
61,PMR4-13,446.04375,,0,TSQL,103.5,103.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
62,PMR4-14,446.04375,,0,TSQL,107.2,107.2,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
63,PMR4-15,446.04375,,0,TSQL,110.9,110.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
64,PMR5,446.05625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
65,PMR5-01,446.05625,,0,TSQL,67,67,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
66,PMR5-02,446.05625,,0,TSQL,71.9,71.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
67,PMR5-03,446.05625,,0,TSQL,74.4,74.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
68,PMR5-04,446.05625,,0,TSQL,77,77,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
69,PMR5-05,446.05625,,0,TSQL,79.7,79.7,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
70,PMR5-06,446.05625,,0,TSQL,82.5,82.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
71,PMR5-07,446.05625,,0,TSQL,85.4,85.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
72,PMR5-08,446.05625,,0,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
73,PMR5-09,446.05625,,0,TSQL,91.5,91.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
74,PMR5-10,446.05625,,0,TSQL,94.8,94.8,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
75,PMR5-11,446.05625,,0,TSQL,97.4,97.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
76,PMR5-12,446.05625,,0,TSQL,100,100,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
77,PMR5-13,446.05625,,0,TSQL,103.5,103.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
78,PMR5-14,446.05625,,0,TSQL,107.2,107.2,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
79,PMR5-15,446.05625,,0,TSQL,110.9,110.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
80,PMR6,446.06875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
81,PMR6-01,446.06875,,0,TSQL,67,67,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
82,PMR6-02,446.06875,,0,TSQL,71.9,71.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
